NPRODUCTO,CONCURSO,F1,F2,F3,F4,F5,F6,F7,BOLSA,FECHA
30.0,1539,11,16,17,26,28,35,3.0,58900000.0,17/06/2025
30.0,1538,7,11,13,16,26,33,29.0,54300000.0,14/06/2025
30.0,1537,4,11,13,33,35,38,24.0,50700000.0,10/06/2025
30.0,1536,4,12,13,15,29,37,5.0,46500000.0,07/06/2025
30.0,1535,7,10,16,26,30,35,20.0,42300000.0,03/06/2025
30.0,1534,3,4,5,22,25,27,29.0,38300000.0,31/05/2025
30.0,1533,9,19,20,22,24,31,26.0,34700000.0,27/05/2025
30.0,1532,1,11,12,19,37,38,4.0,31300000.0,24/05/2025
30.0,1531,4,14,16,24,28,34,32.0,28000000.0,20/05/2025
30.0,1530,3,13,14,17,27,29,39.0,24700000.0,17/05/2025
30.0,1529,2,11,15,24,27,29,38.0,21900000.0,13/05/2025
30.0,1528,13,14,20,21,27,36,28.0,19000000.0,10/05/2025
30.0,1527,6,13,16,27,34,35,11.0,16700000.0,06/05/2025
30.0,1526,9,10,30,33,36,39,16.0,14000000.0,03/05/2025
30.0,1525,2,8,16,32,33,37,35.0,12000000.0,29/04/2025
30.0,1524,4,24,27,28,30,33,1.0,9900000.0,26/04/2025
30.0,1523,1,6,9,12,21,31,14.0,8000000.0,22/04/2025
30.0,1522,3,8,13,20,23,24,22.0,6600000.0,19/04/2025
30.0,1521,3,4,18,22,29,38,31.0,5200000.0,15/04/2025
30.0,1520,14,22,28,29,31,33,30.0,5100000.0,12/04/2025
30.0,1519,5,7,8,13,32,38,10.0,5000000.0,08/04/2025
30.0,1518,3,9,12,19,20,37,16.0,6300000.0,05/04/2025
30.0,1517,11,12,21,24,29,33,2.0,5200000.0,01/04/2025
30.0,1516,18,20,23,25,27,32,10.0,5100000.0,29/03/2025
30.0,1515,12,13,14,23,28,38,34.0,5000000.0,25/03/2025
30.0,1514,1,3,24,25,29,35,9.0,9900000.0,22/03/2025
30.0,1513,6,20,21,23,34,37,15.0,8000000.0,18/03/2025
30.0,1512,5,8,10,19,25,35,31.0,6400000.0,15/03/2025
30.0,1511,5,7,21,31,36,38,32.0,5200000.0,11/03/2025
30.0,1510,7,13,22,30,32,39,6.0,5100000.0,08/03/2025
30.0,1509,5,10,20,30,32,39,36.0,5000000.0,04/03/2025
30.0,1508,2,8,20,30,33,38,23.0,5000000.0,01/03/2025
30.0,1507,8,23,25,28,34,35,26.0,12000000.0,25/02/2025
30.0,1506,9,12,18,25,26,35,39.0,10000000.0,22/02/2025
30.0,1505,6,9,10,29,31,36,18.0,8000000.0,18/02/2025
30.0,1504,15,19,23,24,25,26,35.0,6300000.0,15/02/2025
30.0,1503,9,12,15,18,20,36,38.0,5200000.0,11/02/2025
30.0,1502,1,7,17,22,30,34,33.0,5100000.0,08/02/2025
30.0,1501,11,12,13,28,29,30,1.0,5000000.0,04/02/2025
30.0,1500,6,10,24,27,32,36,19.0,5000000.0,01/02/2025
30.0,1499,3,4,18,24,28,34,39.0,8300000.0,28/01/2025
30.0,1498,12,13,23,24,26,27,29.0,6300000.0,25/01/2025
30.0,1497,3,6,12,19,38,39,14.0,5200000.0,21/01/2025
30.0,1496,3,15,23,28,32,37,21.0,5100000.0,18/01/2025
30.0,1495,5,19,20,26,31,33,38.0,5000000.0,14/01/2025
30.0,1494,8,10,12,13,17,27,24.0,5100000.0,11/01/2025
30.0,1493,1,11,13,20,30,39,36.0,5000000.0,07/01/2025
30.0,1492,2,7,17,21,24,34,28.0,5100000.0,04/01/2025
30.0,1491,6,9,14,23,27,31,37.0,5000000.0,31/12/2024
30.0,1490,13,15,24,30,36,37,16.0,12300000.0,28/12/2024
30.0,1489,7,19,22,24,25,35,29.0,0.0,24/12/2024
30.0,1488,3,8,10,18,22,24,11.0,8000000.0,21/12/2024
30.0,1487,2,3,5,6,7,19,15.0,6500000.0,17/12/2024
30.0,1486,5,16,17,29,36,39,1.0,5200000.0,14/12/2024
30.0,1485,10,12,16,25,28,31,19.0,5100000.0,10/12/2024
30.0,1484,5,8,12,21,24,33,9.0,5000000.0,07/12/2024
30.0,1483,8,13,14,25,36,39,22.0,5100000.0,03/12/2024
30.0,1482,3,7,21,25,27,29,38.0,5000000.0,30/11/2024
30.0,1481,9,10,11,13,31,33,7.0,5300000.0,26/11/2024
30.0,1480,1,3,12,13,22,33,20.0,5200000.0,23/11/2024
30.0,1479,2,4,5,22,29,32,35.0,5100000.0,19/11/2024
30.0,1478,8,11,15,16,22,37,1.0,5000000.0,16/11/2024
30.0,1477,8,16,25,30,34,36,17.0,5000000.0,12/11/2024
30.0,1476,4,14,20,21,23,28,22.0,15500000.0,09/11/2024
30.0,1475,1,2,5,17,18,31,34.0,13000000.0,05/11/2024
30.0,1474,1,19,20,24,32,39,18.0,10900000.0,02/11/2024
30.0,1473,13,15,22,27,36,39,19.0,9000000.0,29/10/2024
30.0,1472,7,8,10,14,15,25,26.0,7500000.0,26/10/2024
30.0,1471,19,20,22,35,36,37,28.0,6000000.0,22/10/2024
30.0,1470,6,12,15,19,27,32,2.0,5200000.0,19/10/2024
30.0,1469,3,4,11,15,17,19,23.0,5100000.0,15/10/2024
30.0,1468,16,20,22,27,33,37,1.0,5000000.0,12/10/2024
30.0,1467,5,6,15,16,24,35,39.0,6300000.0,08/10/2024
30.0,1466,10,13,24,29,35,36,26.0,5200000.0,05/10/2024
30.0,1465,15,24,29,32,36,37,35.0,5100000.0,01/10/2024
30.0,1464,10,13,15,22,23,24,9.0,5000000.0,28/09/2024
30.0,1463,5,25,27,28,33,38,1.0,27700000.0,24/09/2024
30.0,1462,2,7,16,21,32,35,6.0,24900000.0,21/09/2024
30.0,1461,8,11,12,13,26,39,6.0,22500000.0,17/09/2024
30.0,1460,1,8,13,14,15,26,2.0,20000000.0,14/09/2024
30.0,1459,4,14,17,25,26,37,30.0,17500000.0,10/09/2024
30.0,1458,13,19,20,27,33,36,14.0,15300000.0,07/09/2024
30.0,1457,4,6,7,8,20,38,5.0,13000000.0,03/09/2024
30.0,1456,7,16,17,24,32,39,12.0,11000000.0,31/08/2024
30.0,1455,7,11,19,21,29,30,28.0,9300000.0,27/08/2024
30.0,1454,17,22,30,31,33,39,32.0,7500000.0,24/08/2024
30.0,1453,7,16,17,27,38,39,31.0,5900000.0,20/08/2024
30.0,1452,4,12,13,14,22,38,39.0,5200000.0,17/08/2024
30.0,1451,12,17,27,29,37,39,2.0,5100000.0,13/08/2024
30.0,1450,3,6,10,17,26,38,39.0,5000000.0,10/08/2024
30.0,1449,12,19,25,34,36,38,21.0,5100000.0,06/08/2024
30.0,1448,3,11,14,27,28,31,1.0,5000000.0,03/08/2024
30.0,1447,13,20,22,24,25,33,4.0,5700000.0,30/07/2024
30.0,1446,1,2,4,15,16,34,26.0,5200000.0,27/07/2024
30.0,1445,2,21,24,26,28,30,8.0,5100000.0,23/07/2024
30.0,1444,2,8,11,16,30,33,27.0,5000000.0,20/07/2024
30.0,1443,2,14,21,22,24,26,31.0,17000000.0,16/07/2024
30.0,1442,1,15,18,20,26,27,17.0,14900000.0,13/07/2024
30.0,1441,9,11,17,24,26,35,2.0,13000000.0,09/07/2024
30.0,1440,17,20,25,28,29,32,26.0,10900000.0,06/07/2024
30.0,1439,2,6,27,28,30,35,10.0,9000000.0,02/07/2024
30.0,1438,5,7,10,20,30,34,26.0,7300000.0,29/06/2024
30.0,1437,11,14,23,26,30,39,31.0,5700000.0,25/06/2024
30.0,1436,15,24,30,32,34,36,1.0,5200000.0,22/06/2024
30.0,1435,2,11,23,25,33,37,29.0,5100000.0,18/06/2024
30.0,1434,5,10,14,21,32,38,34.0,5000000.0,15/06/2024
30.0,1433,3,7,16,28,32,34,29.0,5700000.0,11/06/2024
30.0,1432,2,18,19,20,21,29,25.0,5200000.0,08/06/2024
30.0,1431,4,11,17,26,27,37,12.0,5100000.0,04/06/2024
30.0,1430,3,5,9,11,14,33,25.0,5000000.0,01/06/2024
30.0,1429,4,8,9,10,19,20,6.0,5200000.0,28/05/2024
30.0,1428,15,18,27,28,31,38,37.0,5100000.0,25/05/2024
30.0,1427,6,14,16,21,23,37,3.0,5000000.0,21/05/2024
30.0,1426,5,7,8,23,32,37,31.0,11300000.0,18/05/2024
30.0,1425,3,9,10,11,33,36,28.0,9500000.0,14/05/2024
30.0,1424,1,11,13,16,31,39,22.0,7900000.0,11/05/2024
30.0,1423,2,6,19,24,37,39,38.0,6000000.0,07/05/2024
30.0,1422,4,17,26,29,34,39,36.0,5200000.0,04/05/2024
30.0,1421,5,6,26,28,36,38,10.0,5100000.0,30/04/2024
30.0,1420,4,6,9,11,23,39,32.0,5000000.0,27/04/2024
30.0,1419,5,10,16,17,20,39,32.0,5200000.0,23/04/2024
30.0,1418,10,15,24,25,29,34,26.0,5100000.0,20/04/2024
30.0,1417,9,12,14,19,27,36,3.0,5000000.0,16/04/2024
30.0,1416,4,9,11,14,20,26,34.0,5000000.0,13/04/2024
30.0,1415,3,11,14,30,31,39,18.0,26700000.0,09/04/2024
30.0,1414,6,8,11,13,14,36,21.0,24300000.0,06/04/2024
30.0,1413,6,15,22,34,37,39,4.0,22000000.0,02/04/2024
30.0,1412,1,5,6,13,14,16,35.0,19500000.0,30/03/2024
30.0,1411,16,19,21,29,30,37,26.0,17300000.0,26/03/2024
30.0,1410,6,7,10,14,24,26,18.0,15300000.0,23/03/2024
30.0,1409,18,19,21,23,24,37,2.0,13000000.0,19/03/2024
30.0,1408,1,2,6,20,28,34,4.0,11000000.0,16/03/2024
30.0,1407,13,18,22,25,29,33,21.0,9300000.0,12/03/2024
30.0,1406,2,4,20,30,31,32,19.0,7500000.0,09/03/2024
30.0,1405,1,4,10,33,34,36,7.0,5900000.0,05/03/2024
30.0,1404,6,7,22,30,34,36,2.0,5200000.0,02/03/2024
30.0,1403,9,11,12,26,30,36,7.0,5100000.0,27/02/2024
30.0,1402,4,10,23,26,29,32,2.0,5000000.0,24/02/2024
